Firstname,male,female,occurrences
ANGELLO,4,0,4
ANGELLY,0,2,3
ANGELO,293,1,507
ANGELOS,2,0,6
ANGELS,1,1,3
ANGELY,0,3,8
ANGELYN,0,2,6
ANGELYS,0,3,4
ANGERY,4,0,4
ANGI,0,2,9
ANGIE,1,301,620
ANGJELINA,0,2,2
ANGLE,0,2,2
ANGUS,16,0,37
ANGY,0,2,9
ANH,3,5,26
ANI,5,18,46
ANIA,0,24,58
ANIBAL,29,0,41
ANICA,0,3,6
ANICE,0,3,5
ANIE,0,3,8
ANIEKA,0,3,4
ANIEL,2,0,5
ANIELLO,4,0,10
ANIK,1,1,11
ANIKA,1,47,89
ANIKET,5,0,8
ANIKO,0,3,7
ANIL,72,0,134
ANILA,0,15,31
ANIMESH,2,0,3
ANIQA,0,4,7
ANIQUE,0,2,3
ANIRBAN,3,0,3
ANIRUDDHA,7,0,8
ANIRUDH,5,0,5
ANIRUDHA,2,0,3
ANIS,9,1,15
ANISA,0,18,37
ANISAH,0,6,12
ANISE,0,2,3
ANISH,7,0,26
ANISHA,0,19,41
ANISHKA,0,2,2
ANISIA,0,3,4
ANISSA,0,23,47
ANITA,0,329,612
ANITHA,0,6,8
ANITRA,0,8,15
ANIYAH,1,2,3
ANJ,0,2,4
ANJA,0,24,57
ANJAIL,0,2,2
ANJALI,0,31,74
ANJAN,2,0,4
ANJANA,0,6,13
ANJANETTE,0,5,7
ANJANI,1,1,2
ANJANIE,0,5,8
ANJEL,1,3,7
ANJELA,0,2,3
ANJELICA,0,6,12
ANJELIKA,0,2,4
ANJELINA,0,2,2
ANJELIQUE,0,4,4
ANJI,1,1,6
ANJIE,0,2,3
ANJOLI,0,2,3
ANJU,3,8,27
ANJULI,0,6,9
ANJULIE,0,3,3
ANJUM,5,2,12
ANKE,0,3,7
ANKI,0,2,3
ANKIT,24,0,44
ANKITA,0,9,17
ANKUR,35,0,63
ANKUSH,7,0,15
ANMOL,1,1,9
ANN,1,661,1150
ANNA,1,1360,2985
ANNABEL,0,12,39
ANNABELLA,0,5,11
ANNABELLE,0,32,61
ANNAH,0,2,2
ANNA-KAY,0,4,4
ANNA-KAYE,0,2,2
ANNALEE,0,2,4
ANNA-LENA,0,3,5
ANNALIESE,0,2,5
ANNALISA,0,21,46
ANNA-LISA,0,2,7
ANNALISE,0,2,11
ANNALY,0,2,2
ANNAMAE,0,2,3
ANNAMARIA,0,29,53
ANNA-MARIA,0,2,6
ANNAMARIE,0,31,45
ANNA-MARIE,0,4,6
ANNAROSE,0,2,5
ANNASTASIA,0,4,4
ANNAZETTE,0,2,2
ANNDREW,2,0,2
ANNE,3,733,1453
ANNECIA,0,2,2
ANNEKA,0,2,10
ANNEKE,0,3,10
ANNEL,1,4,8
ANNE-LAURE,0,4,15
ANNELI,0,5,6
ANNELIES,0,2,6
ANNELIESE,0,3,14
ANNELISE,0,5,15
ANNELLE,0,2,5
ANNELYN,0,2,2
ANNEMARIE,0,57,115
ANNE-MARIE,0,17,52
ANNE-MICHELLE,0,2,2
ANNEMIEKE,0,2,3
ANNERIS,0,4,7
ANNE-ROSE,0,2,2
ANNE-SOPHIE,0,4,9
ANNET,0,6,10
ANNETTA,0,3,6
ANNETTE,0,372,618
ANNI,0,10,24
ANNIA,0,6,7
ANNICA,0,3,6
ANNICK,0,7,14
ANNIE,0,462,1056
ANNIKA,0,19,47
ANNIS,0,4,5
ANNISHA,0,3,3
ANNISIA,0,2,2
ANN-MARGARET,0,2,4
ANNMARIE,2,146,260
ANN-MARIE,0,32,51
ANNU,0,3,7
ANNY,0,37,79
ANOOP,13,0,16
ANOOSH,2,0,2
ANOUCHKA,0,2,3
ANOUCK,0,2,4
ANOUSH,0,2,4
ANOUSHKA,0,3,6
ANOWAR,3,0,3
ANRI,2,0,4
ANSA,0,2,3
ANSAR,2,0,4
ANSARA,0,2,3
ANSEL,6,0,13
ANSELM,6,0,7
ANSELMA,0,2,2
ANSELMO,6,0,7
ANSHU,1,4,8
ANSHUL,8,1,12
ANSHUMAN,4,0,7
ANSIL,1,1,2
ANSLEM,2,0,4
ANSLEY,0,4,7
ANSON,15,0,27
ANT,16,0,38
ANTAR,3,0,3
ANTARES,1,1,2
ANTASHA,0,2,3
ANTAYA,0,2,2
ANTE,7,0,15
ANTEO,2,0,2
ANTERO,2,0,2
ANTHE,0,2,3
ANTHEA,0,15,27
ANTHI,0,2,5
ANTHON,4,0,5
ANTHONEY,3,0,4
ANTHONI,2,0,3
ANTHONIA,0,2,5
ANTHONY,3576,4,6071
ANTIA,0,4,4
ANTIMO,2,0,2
ANTIONE,3,0,6
ANTIONETTE,0,10,12
ANTJE,0,5,7
ANTO,2,0,3
ANTOIN,2,0,4
ANTOINE,124,0,212
ANTOINETTE,0,197,358
ANTON,131,1,215
ANTONE,2,0,5
ANTONEIL,2,0,2
ANTONELLA,0,53,106
ANTONELLO,2,0,3
ANTONETA,0,3,5
ANTONETTE,0,20,25
ANTONI,4,0,5
ANTONIA,0,94,175
ANTONIETA,0,4,5
ANTONIETTA,0,14,27
ANTONIN,3,0,4
ANTONINA,0,6,16
ANTONINO,16,0,22
ANTONIO,516,1,822
ANTONIOS,2,0,7
ANTONIS,8,0,10
ANTONY,38,0,63
ANTUAN,2,0,3
ANTUANETTE,0,2,3
ANTULIO,2,0,2
ANTWAIN,2,0,2
ANTWAN,23,0,29
ANTWANN,4,0,4
ANTWAUN,3,0,3
ANTWOINE,2,0,3
ANTWON,7,0,15
ANTZ,2,0,2
ANU,6,23,65
ANUAR,4,0,6
ANUBHAV,4,0,5
ANUJ,26,0,42
ANUJA,0,3,9
ANUKI,0,2,2
ANUM,0,3,7
ANUP,10,0,21
ANUPA,0,2,5
ANUPAM,5,0,13
ANUPAMA,1,6,14
ANURADHA,0,5,12
ANURAG,16,0,23
ANUSH,2,1,5
ANUSHA,0,8,11
ANUSHKA,1,6,10
ANUSHREE,0,3,5
ANVAR,2,1,4
ANWAR,21,0,37
ANXHELA,0,2,2
ANY,0,7,9
ANYA,0,59,142
ANYAH,0,2,2
ANYELI,0,2,2
ANYELINA,0,2,5
ANYELO,4,0,5
ANZHELA,0,4,4
ANZHELIKA,0,2,3
AO,1,1,4
AOI,0,2,3
AOIFE,0,10,21
AP,3,1,6
APARNA,0,9,28
APATHY,1,1,2
APHRODITE,0,2,4
APOLLO,3,0,3
APOLLON,2,0,2
APOLLONIA,0,3,6
APOLONIA,0,3,4
APOORVA,3,0,5
APOSTLE,3,0,5
APOSTOLOS,4,0,6
APPLE,4,16,31
APRIL,0,326,619
APRILIA,1,1,2
APRILL,0,3,3
APRILLE,0,2,5
APRYL,0,4,12
APURVA,7,1,11
AQ,2,0,2
AQEEL,9,0,12
AQEELA,0,2,3
AQIB,2,0,5
AQIL,2,0,3
AQILA,0,3,5
AQSA,0,3,7
AQUA,1,1,5
AQUANETTA,0,2,4
AQUEELAH,0,3,4
AQUILA,1,6,9
AQUILES,3,0,5
AQUILLA,1,1,3
AQUINO,2,0,2
AR,5,2,16
ARA,10,6,28
ARABELIS,0,3,3
ARABELLA,0,6,12
ARABIA,0,3,5
ARACELI,0,10,24
ARACELIS,0,20,38
ARACELLI,0,2,2
ARACELY,0,7,13
ARACELYS,0,5,6
ARADHANA,1,1,4
ARAFAT,5,0,6
ARAINA,0,2,2
ARAL,2,0,2
ARALIS,0,5,5
ARAM,13,2,27
ARAMIS,13,0,18
ARAN,4,0,5
ARANCHA,0,2,3
ARASELIS,0,2,2
BEBE,2,14,29
BEBI,0,2,3
BEBO,3,0,4
BECCA,0,87,231
BECCI,0,2,4
BECK,3,2,6
BECKA,0,7,15
BECKETT,2,0,4
BECKI,0,5,11
BECKIE,0,8,11
BECKLEY,1,1,2
BECKY,0,201,470
BEDFORD,3,1,4
BEE,8,17,56
BEEBE,0,2,2
BEENA,0,8,13
BEENISH,0,2,5
BEER,3,0,6
BEGUM,0,2,5
BEHNAM,3,0,4
BEHNAZ,0,2,2
BEHROOZ,2,0,3
BEHROUZ,3,0,3
BEHROZ,2,0,2
BEHZAD,2,0,6
BEI,1,5,9
BEIBEI,0,4,6
BEK,1,2,4
BEKA,2,4,9
BEKAH,0,4,13
BEKI,0,3,4
BEKIM,12,0,17
BEKIR,5,0,8
BEL,0,3,6
BELA,5,6,17
BELAL,3,0,6
BELEN,1,10,21
BELENDA,0,2,2
BELGICA,0,3,7
BELIA,0,2,3
BELINDA,0,123,227
BELISA,0,2,3
BELISSA,0,2,5
BELKIS,0,27,37
BELKY,0,3,4
BELKYS,0,6,9
BELL,3,6,19
BELLA,1,113,195
BELLADONNA,1,1,3
BELLE,0,21,41
BELLO,5,0,6
BELMA,0,4,7
BELOVED,0,3,3
BELTRAN,2,1,4
BELYNDA,0,2,2
BEN,979,2,2055
BENA,0,2,4
BENARD,2,0,3
BENBEN,2,0,3
BENDER,14,0,17
BENEDETTA,0,10,18
BENEDETTO,5,0,10
BENEDICT,15,0,25
BENEDICTA,0,5,7
BENEDICTE,0,4,7
BENEDIKT,3,0,4
BENEE,1,1,3
BENGIE,2,0,2
BENGT,2,0,2
BENI,6,0,11
BENIAM,2,0,2
BENIGNO,3,0,5
BENITA,0,24,43
BENITO,19,0,27
BENJ,6,0,15
BENJA,2,1,3
BENJAMIN,587,1,1129
BENJI,18,0,41
BENJIE,9,1,11
BENJY,8,0,18
BENN,5,0,7
BENNET,3,0,7
BENNETT,29,0,60
BENNI,3,0,7
BENNIE,7,2,17
BENNO,4,0,7
BENNY,155,3,273
BENO,2,0,2
BENOIT,14,0,25
BENONI,2,0,3
BENSON,21,0,39
BENT,1,1,4
BENTE,0,2,2
BENTHLY,1,1,2
BENTLEY,9,0,11
BENTON,5,0,12
BENTZI,2,0,5
BENTZY,2,0,3
BENY,3,2,8
BENZI,2,0,3
BENZION,3,0,5
BEOWULF,2,0,2
BEPPE,4,0,5
BER,3,0,6
BERAT,3,1,7
BERE,0,3,3
BEREL,2,0,7
BERENICE,0,13,23
BERHANE,2,0,3
BERIC,2,0,2
BERIL,0,3,4
BERIT,0,2,4
BERK,9,0,16
BERKCAN,2,0,2
BERKE,2,0,4
BERKELEY,2,0,6
BERKER,2,0,3
BERKIN,2,0,2
BERKOWITZ,1,1,3
BERLIN,0,2,3
BERLINDA,0,2,5
BERLINE,0,2,2
BERLY,0,2,2
BERLYN,1,1,3
BERN,1,1,6
BERNA,0,5,11
BERNABE,2,0,2
BERNADETTA,0,3,3
BERNADETTE,0,212,355
BERNADINE,0,14,19
BERNARD,186,0,313
BERNARDA,0,3,4
BERNARDINE,0,2,2
BERNARDO,45,0,76
BERND,7,0,10
BERNELL,2,0,2
BERNETTE,0,2,2
BERNHARD,6,0,11
BERNICE,0,71,134
BERNIE,55,10,101
BERNITA,0,2,2
BERNS,1,2,3
BERNY,5,0,8
BERRADA,1,1,2
BERRIN,0,5,7
BERRY,1,5,17
BERT,51,3,85
BERTA,1,15,26
BERTHA,0,26,40
BERTHE,0,5,5
BERTHONY,2,0,3
BERTI,0,2,3
BERTIE,2,1,5
BERTILIO,2,0,2
BERTIN,4,0,7
BERTINA,0,2,5
BERTINE,0,2,2
BERTO,8,0,15
BERTON,4,0,4
BERTRAM,11,0,16
BERTRAN,2,0,2
BERTRAND,12,1,19
BERTY,2,0,4
BERYL,1,16,25
BESA,0,2,10
BESHOY,2,0,3
BESIK,2,0,2
BESIM,7,0,12
BESNIK,9,0,17
BESS,0,12,37
BESSIE,0,13,29
BEST,4,4,11
BET,0,2,2
BETH,0,533,1224
BETHAN,1,1,2
BETHANIA,0,6,8
BETHANN,0,9,12
BETHANNE,0,7,10
BETHANY,0,79,187
BETHE,0,2,2
BETHEA,2,0,2
BETHEL,0,3,4
BETHINA,0,2,2
BETHSAIDA,0,3,4
BETHSY,0,2,3
BETHZAIDA,0,3,4
BETINA,0,8,12
BETO,11,0,13
BETSAIDA,0,4,4
BETSEY,0,12,25
BETSY,0,208,416
BETTE,1,24,32
BETTER,2,0,3
BETTI,0,6,9
BETTIE,0,7,12
BETTINA,0,39,74
BETTINNA,0,2,2
BETTSY,0,3,4
BETTY,0,284,482
BETTYANN,0,7,11
BETTY-ANN,0,2,2
BETTYANNE,0,3,3
BETZAIDA,0,9,13
BETZY,1,4,5
BETÜL,0,2,3
BEULAH,0,4,6
BEV,0,10,23
BEVAN,4,0,7
BEVERLEY,0,27,41
BEVERLY,0,249,354
BEVERLYN,0,3,3
BEVIN,2,2,12
BEVON,4,0,8
BEX,0,3,9
BEY,1,1,2
BEYONCE,0,5,7
BEYOND,3,0,7
BEZALEL,2,0,4
BHADRA,0,2,2
BHAKTA,2,0,3
BHARAT,17,0,28
BHARATH,5,0,8
BHARGAV,2,0,5
BHARTI,0,3,3
BHASH,3,0,4
BHASKAR,3,0,5
BHAVANA,0,2,4
BHAVANI,0,4,4
BHAVESH,5,0,11
BHAVIK,2,0,5
BHAVIN,11,0,17
BHAVNA,0,4,15
BHAWNA,0,2,6
BHOJ,2,0,2
BHUMI,0,2,3
BHUMIKA,0,2,4
BHUSHAN,2,0,2
BI,2,0,3
BIA,0,4,6
BIAGIO,8,0,12
BIANA,0,14,27
BIANCA,1,249,533
BIANCHI,0,2,2
BIANKA,0,10,15
BIANNY,1,2,4
BIBAI,1,1,2
BIBBIN,2,0,2
BIBI,2,39,86
BIBIANA,0,8,15
BIBIANE,0,2,3
BIBO,1,1,4
BIBY,0,2,2
BIDISHA,0,2,2
BIE,2,0,2
BIEN,1,3,5
BIENVENIDA,0,3,3
BIENVENIDO,6,0,9
BIFF,2,0,5
BIG,4,0,7
BIGAPPLE,1,1,3
BIGBAD,1,1,2
BIGD,2,0,2
BIGG,10,0,16
BIGGIE,8,0,10
BIGGS,4,0,5
BIGGY,2,0,4
BIGMIKE,3,0,3
BIJAL,1,3,10
BIJAN,4,0,9
BIJESH,2,0,2
BIJLI,0,2,2
BIJOU,0,4,7
BIJOY,2,0,3
BIJU,6,0,12
BIKE,2,1,5
BIKRAM,4,2,11
BIL,3,1,7
BILAL,41,0,66
BILBO,2,0,3
BILGE,1,1,5
BILGIN,2,0,4
BILJANA,0,5,10
BILKIS,0,2,3
BILL,958,1,1635
BILLIE,3,22,51
BILLUR,0,3,4
BILQIS,0,2,2
BIM,4,0,7
BIMAL,3,1,6
BIN,16,1,34
BINA,0,16,33
BINAYAK,2,0,2
BINBIN,0,2,2
BINDER,2,0,2
BINDI,0,2,5
BINDIA,0,2,3
BINDU,0,7,12
BING,21,8,45
BINH,4,1,11
BINIAM,2,0,2
BINISH,1,1,2
BINIT,2,0,2
BINO,3,0,6
BINOD,6,0,6
BINOY,4,0,8
BINTA,1,3,9
BINTOU,0,2,6
BINU,7,3,13
BINYAMIN,4,0,13
BINYOMIN,6,0,7
BIONCA,0,2,3
BIPASHA,0,2,2
BIPIN,4,0,5
BIRCAN,0,2,2
BIRD,3,1,6
BIRDIE,1,3,4
BIRDY,1,2,4
BIREN,3,0,7
BIRGIT,0,12,19
BIRGITTA,0,2,5
BIRMA,0,2,2
BIROL,5,0,6
BIRON,2,0,2
BIRSEN,0,2,3
BISER,2,0,2
BISERA,0,2,2
BISHNU,4,0,7
BISHOP,14,0,21
BISHOY,3,0,10
CHAVIVA,0,3,4
CHAVON,0,2,2
CHAVONNE,0,2,4
CHAVY,0,3,4
CHAWANA,0,2,2
CHAWN,1,1,2
CHAY,0,5,11
CHAYA,0,40,95
CHAYALA,0,4,7
CHAYANNE,4,1,9
CHAYE,0,2,3
CHAYIM,2,0,4
CHAZ,37,0,59
CHAZZ,5,0,9
CHE,18,9,49
CHEALSEA,0,2,3
CHECHE,1,1,2
CHECK,2,0,3
CHEE,3,3,14
CHEECH,3,0,5
CHEF,18,10,40
CHEICK,4,0,6
CHEIK,2,0,2
CHEIKH,4,0,7
CHEILA,0,2,4
CHEKESHA,0,2,2
CHEL,0,3,5
CHELA,0,2,6
CHELE,0,2,5
CHELLE,0,8,14
CHELLIE,0,2,3
CHELLY,0,5,8
CHELO,2,0,5
CHELSEA,1,168,492
CHELSEY,0,25,46
CHELSIE,0,7,14
CHELY,0,5,7
CHEMA,1,1,2
CHEMISE,0,2,2
CHEN,37,26,107
CHENA,0,2,3
CHENEA,0,2,3
CHENEL,0,2,2
CHENELL,0,4,4
CHENELLE,0,5,11
CHENEQUA,0,2,4
CHENG,18,5,37
CHENGHWA,1,1,2
CHENGLONG,2,0,2
CHENGQI,1,1,2
CHENGWEI,2,0,2
CHENGZHI,2,0,2
CHENNELLE,1,1,2
CHENOA,0,2,5
CHENTA,1,1,2
CHENYANG,2,0,2
CHEOL,2,0,3
CHEPE,2,0,3
CHER,0,16,25
CHERE,0,2,3
CHEREE,0,2,2
CHEREESE,0,2,4
CHERELLE,0,9,14
CHERESE,0,2,9
CHERESSE,0,3,3
CHERI,0,34,79
CHERICE,0,4,8
CHERIE,0,48,92
CHERIESE,0,2,2
CHERIF,2,0,4
CHERILYN,0,5,12
CHERISA,0,2,4
CHERISE,0,39,67
CHERISH,0,8,17
CHERISSE,0,19,30
CHERITA,0,3,5
CHERLINE,0,3,3
CHERLYN,0,2,4
CHEROKEE,1,2,6
CHERON,1,3,5
CHERRELLE,0,3,4
CHERRI,0,3,6
CHERRIE,0,7,8
CHERRON,1,2,5
CHERRY,2,55,94
CHERRYANN,0,7,8
CHERRYL,0,6,10
CHERRYLYN,0,2,2
CHERUB,0,2,2
CHERYL,1,552,977
CHERYLANN,0,6,10
CHERYL-ANN,0,2,3
CHERYLE,0,2,8
CHERYLL,0,3,7
CHERYLLE,0,3,4
CHERYLYN,0,3,3
CHESKA,0,2,8
CHESKY,3,0,8
CHESLEY,3,0,7
CHESTER,37,2,60
CHESTERFIELD,2,0,3
CHET,25,1,44
CHETAN,14,0,28
CHETHAN,2,0,2
CHETNA,0,2,4
CHEUNG,3,3,11
CHEVAN,2,0,2
CHEVAUGHN,1,1,2
CHEVEL,0,2,2
CHEVELLE,0,4,7
CHEVON,3,3,17
CHEVONE,0,3,5
CHEVONNE,0,8,17
CHEVY,0,2,4
CHEW,2,1,4
CHEWY,2,1,10
CHEYANNE,0,2,5
CHEYENNE,4,21,63
CHEYNE,1,1,4
CHEZ,1,2,11
CHEZKY,4,0,5
CHHAVI,0,2,5
CHI,29,14,93
CHIA,0,5,11
CHIAKI,0,9,13
CHIARA,0,28,65
CHIARRA,0,4,4
CHIBUIKE,2,0,2
CHIBUZO,2,1,3
CHIC,2,0,3
CHICHI,2,8,16
CHI-CHI,2,5,9
CHICKIE,0,6,7
CHICKS,0,2,2
CHICKY,1,1,2
CHICO,13,0,21
CHIDI,3,1,5
CHIDINMA,0,4,4
CHIE,0,3,8
CHIEH,2,0,3
CHIEN,3,2,7
CHIFFON,0,2,3
CHIH,2,2,5
CHIHARU,0,2,3
CHIHIRO,0,5,8
CHIH-WEI,2,0,4
CHIINA,1,2,4
CHIKA,1,13,24
CHIKAKO,0,3,7
CHIKE,7,0,9
CHIKI,1,1,2
CHILD,2,0,2
CHILDREN,1,1,5
CHILI,2,1,4
CHILL,3,1,9
CHILLI,3,0,3
CHILLY,4,0,8
CHIMA,4,0,5
CHIME,0,4,5
CHIMERE,0,4,8
CHIN,10,4,24
CHINA,1,23,36
CHINATSU,0,4,5
CHINEDU,6,0,10
CHINEDUM,2,0,2
CHINELLE,0,3,5
CHINELO,2,1,5
CHINENYE,1,2,5
CHING,6,7,31
CHINITA,0,2,4
CHINMAY,2,0,3
CHINMOY,3,0,3
CHINO,17,2,31
CHINTAN,17,0,26
CHINYERE,1,6,12
CHIOMA,0,13,26
CHIP,55,1,104
CHIPPY,2,2,4
CHIPS,2,1,3
CHIPZ,2,0,3
CHIQUITA,0,3,6
CHIRAAG,2,0,2
CHIRAG,26,0,43
CHIRANTAN,2,0,3
CHIRAYU,2,0,3
CHIRO,2,0,3
CHIRS,2,0,3
CHIS,2,0,3
CHISATO,0,5,7
CHISTY,2,0,2
CHITRA,0,9,15
CHIU,3,2,9
CHIVAS,2,0,2
CHIVON,1,3,5
CHIVONNE,0,3,3
CHI-WAI,2,0,2
CHIYO,0,4,6
CHIYONO,0,2,2
CHIZOBA,0,2,4
CHLOE,0,124,290
CHO,8,5,18
CHOCO,1,2,6
CHOI,1,2,12
CHOICE,2,1,3
CHOLA,1,1,2
CHONG,5,0,16
CHONY,1,1,2
CHOO,2,0,2
CHOPPER,3,0,3
CHOU,0,2,2
CHOWDHURY,4,0,7
CHOYA,2,0,2
CHRIS,3688,122,7148
CHRISANDRA,0,2,2
CHRISANN,0,4,7
CHRIS-ANN,0,2,2
CHRISANTHI,0,2,2
CHRISELLE,0,3,4
CHRISITINE,0,3,3
CHRISOULA,0,2,5
CHRISSA,0,2,4
CHRISSI,0,4,8
CHRISSIE,0,9,32
CHRISSY,0,121,291
CHRIST,4,4,12
CHRISTA,0,55,119
CHRISTABEL,0,6,6
CHRISTAL,0,23,48
CHRISTAN,0,2,5
CHRISTEE,0,3,3
CHRISTEEN,0,5,8
CHRISTEL,1,15,28
CHRISTELLE,0,11,29
CHRISTEN,1,19,42
CHRISTENA,0,4,5
CHRISTER,3,0,4
CHRISTI,0,23,49
CHRISTIA,0,2,4
CHRISTIAAN,4,0,8
CHRISTIAN,905,12,1684
CHRISTIANA,0,17,47
CHRISTIANAH,0,2,2
CHRISTIANE,0,24,48
CHRISTIANNA,0,6,11
CHRISTIANNE,0,4,9
CHRISTIANO,3,0,6
CHRISTIE,0,114,265
CHRISTIEN,1,2,4
CHRISTIN,1,13,37
CHRISTINA,3,1447,3313
CHRISTINE,1,1669,3536
CHRISTO,7,0,13
CHRISTOF,2,0,4
CHRISTOFER,2,0,3
CHRISTOFFER,2,0,5
CHRISTON,4,0,6
CHRISTOPER,5,0,5
CHRISTOPH,28,0,41
CHRISTOPHE,35,1,74
CHRISTOPHER,2423,3,4332
CHRISTOPHOR,2,0,2
CHRISTOS,40,0,72
CHRISTY,2,139,344
CHRISTYL,0,2,3
CHRISTYLEZ,2,0,2
CHRISTYN,0,2,7
CHRIZ,2,0,5
CHRYS,1,3,12
CHRYSA,0,2,2
CHRYSOULA,0,2,2
CHRYSTAL,0,21,41
CHRYSTIE,0,6,10
CHRYSTINE,0,2,4
CHRYSTOPHER,2,0,2
CHRYSTYNA,0,2,3
CHU,6,4,14
CHUAN,2,0,4
CHUCHO,2,0,3
CHUCK,216,2,359
CHUCKIE,5,1,9
CHUCKY,6,1,11
CHUDE,0,2,2
CHUI,1,1,3
CHUK,2,1,6
CHUKIE,2,0,2
CHUKWUDI,2,0,6
CHUKWUMA,5,0,7
CHUL,2,0,4
CHULA,1,3,5
CHULETA,2,0,2
CHULO,5,0,6
CHUMIE,0,3,6
CHUMLEY,2,0,2
CHUN,16,5,41
CHUNG,15,1,33
CHUNK,2,0,2
CHUNKIE,2,0,3
CHUNKY,1,1,2
CHURCHILL,2,0,2
CHY,0,5,6
CHYME,0,2,2
CHYNA,1,13,23
CHYNAH,0,2,2
CHYNNA,0,4,8
CI,3,0,4
CIA,0,3,10
CIAN,5,0,10
CIANA,0,2,3
CIANO,2,0,3
CIARA,0,46,89
CIARAN,11,0,23
CIARRA,0,2,5
CIBELES,0,2,2
CIBELI,0,2,2
CICCIO,2,0,3
CICELY,0,9,17
CICI,1,9,21
CID,4,2,8
CIELITO,0,2,2
CIELO,0,9,16
CIERA,0,8,15
CIERRA,0,10,19
CIHAN,8,1,13
CINDA,0,2,4
CINDEE,0,2,3
CINDERELLA,0,3,5
CINDI,0,22,38
CINDIA,0,4,5
CINDIE,0,2,9
CINDII,0,2,2
CINDRA,0,2,2
CINDY,3,660,1345
CINDYANN,0,2,2
CINE,0,2,3
CINNAMON,0,8,11
CINSERE,2,0,2
CINTA,0,2,2
CINTHIA,0,20,45
CINTHYA,0,16,25
CINTIA,0,11,15
CINTRA,0,3,4
CINTRON,1,1,3
CINZIA,0,10,15
CIO,0,3,3
CIPH,2,0,2
CIPRIAN,6,0,11
CIRA,0,5,12
CIRCLE,2,2,5
CIRILO,4,0,4
CIRO,18,0,30
CISCO,14,1,21
CISSE,1,1,3
CISSY,0,3,6
CITA,0,2,4
CITIZEN,2,1,8
CITRA,0,2,3
CITYOF,2,0,2
CIVIA,0,2,2
CJAY,3,1,6
CKY,3,0,3
CLAES,3,0,5
CLAIBORNE,1,1,4
CLAIR,1,8,22
CLAIRE,1,314,743
CLARA,0,130,271
CLARCK,3,0,3
CLARE,2,70,184
CLARENCE,75,0,112
CLARET,0,2,2
CLARI,0,5,8
CLARIBEL,0,29,54
CLARICE,0,14,31
CLARIS,0,3,4
CLARISA,0,7,14
CLARISE,0,2,2
CLARISEL,0,2,2
CLARISSA,1,53,125
CLARISSE,0,10,18
CLARITA,0,5,8
CLARITZA,0,4,5
CLARIZA,0,3,4
CLARK,44,2,92
CLARKE,8,2,20
CLARO,2,0,2
CLARY,0,4,5
CLARYBEL,0,2,2
CLASSIC,5,1,8
CLAUDE,59,7,126
CLAUDEEN,0,2,3
CLAUDENE,0,3,4
CLAUDETTE,0,48,77
CLAUDIA,0,512,1043
CLAUDINA,0,6,7
CLAUDINE,0,44,98
CLAUDIO,70,0,127
CLAUDIU,4,0,4
CLAUDIUS,4,0,4
CLAUDY,2,3,5
CLAUS,2,0,4
CLAXTON,2,0,2
CLAY,52,0,96
CLAYTON,47,0,83
CLEA,0,2,6
CLEARY,1,3,4
CLEIDY,0,2,3
CLELIA,0,4,10
CLEM,7,0,17
CLEMENCE,0,3,9
CLEMENCIA,0,2,2
CLEMENS,2,0,3
CLEMENT,39,0,63
CLEMENTE,7,1,17
CLEMENTINA,0,2,3
CLEMENTINE,0,3,16
CLENTON,2,0,3
CLEO,4,24,50
CLEON,10,0,14
CLEOPATRA,0,11,19
CLETE,3,0,3
CLETO,2,0,2
CLETUS,8,0,9
CLEVE,6,0,11
CLEVELAND,19,0,28
CLEVEN,2,0,2
CLICK,2,0,2
CLIF,7,0,9
CLIFF,119,0,200
CLIFFORD,79,0,127
CLIFTON,37,0,68
CLINT,62,0,96
CLINTON,54,0,91
CLIO,0,2,9
CLIVE,39,0,58
CLODAGH,0,3,4
CLORINA,0,2,2
CLOSET,1,3,5
CLOTILDE,0,5,9
CLOUD,2,0,4
CLOVE,1,1,2
CLOVER,2,8,14
CLOË,0,4,7
CLUNY,1,1,2
CLYDE,52,2,87
CLYNTON,3,0,3
CLYVE,2,0,2
COACH,2,1,7
COBBY,3,0,5
COBY,11,1,19
COCO,11,49,102
COCOA,1,7,14
CODIE,1,1,3
CODY,103,12,219
COEN,2,0,3
COFFEE,2,3,8
COHEN,3,3,13
COL,2,0,2
COLA,0,2,2
COLBY,28,6,61
COLE,49,7,109
COLEEN,0,39,66
COLEMAN,6,3,17
COLENE,0,2,3
COLETTA,0,2,2
COLETTE,0,65,127
COLEY,1,2,6
COLIE,2,2,6
COLIN,258,0,523
COLINA,0,2,2
COLINE,1,2,5
COLLEEN,0,343,811
COLLENE,0,2,3
COLLETTE,0,13,35
COLLIN,57,1,105
COLLINS,11,2,23
COLLIS,3,0,8
COLM,12,0,23
COLMAN,2,0,6
COLOR,2,0,3
COLSON,2,0,2
COLT,2,0,3
COLTON,6,0,11
COLUMBIA,1,3,15
COLVIN,3,0,5
COLYN,1,1,2
COME,2,0,3
COMEDIAN,2,0,3
COMET,2,0,2
COMFORT,0,3,8
COMIC,1,2,6
COMPREHENSIVE,1,1,2
COMPTON,5,0,7
COMRADE,1,1,3
CON,4,1,13
CONAL,2,0,2
CONALL,3,0,6
CONAN,5,0,12
CONCEPCION,1,4,6
CONCETTA,0,29,50
CONCHI,1,1,2
CONCHITA,0,5,6
CONEY,1,2,5
CONG,4,1,7
CONNELL,3,1,4
CONNER,5,3,12
CONNIE,0,265,478
CONNOR,61,2,134
